work_id,series_id,work_title,series_name
1,401,ヲタクに恋は難しい OAD 第2話,ヲタクに恋は難しい
2,1254,ざんねんないきもの事典 (第3シリーズ),ざんねんないきもの事典
5,1198,じみへんっ!! ～地味子を変えちゃう純異性交遊～,じみへんっ!!
6,253,プリンセス・プリンシパル Crown Handler 第1章,プリンセス・プリンシパル
8,1312,ガールズ&パンツァー 最終章 第3話,ガールズ&パンツァー
11,1192,土下座で頼んでみた 第13話「異世界転生して土下座始めました」,土下座で頼んでみた
12,77,夏目友人帳 石起こしと怪しき来訪者,夏目友人帳
15,1201,タイバン！,タイバン！
19,949,囀る鳥は羽ばたかない OAD「Don't Stay Gold」,囀る鳥は羽ばたかない
20,1064,Tokyo 7th シスターズ -僕らは青空になる-,Tokyo 7th シスターズ
29,1252,灼熱カバディ,灼熱カバディ
30,1123,バトルアスリーテス大運動会 ReSTART!,バトルアスリーテス 大運動会
33,938,キングダム 第3シリーズ,キングダム
34,1261,黒ギャルになったから親友としてみた。,黒ギャルになったから親友としてみた。
35,1274,美少年探偵団,美少年探偵団
37,1233,ダンジョンに出会いを求めるのは間違っているだろうか III OVA,ダンジョンに出会いを求めるのは間違っているだろうか
39,1239,ひげを剃る。そして女子高生を拾う。,ひげを剃る。そして女子高生を拾う。
40,1134,すばらしきこのせかい The Animation,すばらしきこのせかい
41,1249,ゴジラ S.P ＜シンギュラポイント＞,ゴジラ S.P
42,1270,バクテン!!,バクテン!!
43,1191,東京BABYLON 2021,東京BABYLON
44,1171,さよなら私のクラマー,さよなら私のクラマー
45,1267,宇宙なんちゃら こてつくん,宇宙なんちゃら こてつくん
46,1215,天地創造デザイン部 特別編,天地創造デザイン部
47,955,Fate/Grand Carnival,Fate
48,1262,オッドタクシー,オッドタクシー
49,1179,憂国のモリアーティ 2クール目,憂国のモリアーティ
50,1258,ダイナ荘びより,ダイナ荘びより
53,1324,東京リベンジャーズ,東京リベンジャーズ
55,1281,セブンナイツ レボリューション -英雄の継承者-,セブンナイツ レボリューション
56,1253,ましろのおと,ましろのおと
57,503,カードファイト!! ヴァンガード overDress,カードファイト!! ヴァンガードG
58,956,新幹線変形ロボ シンカリオンＺ THE ANIMATION,新幹線変形ロボ シンカリオン
60,1282,Fairy蘭丸～あなたの心お助けします～,Fairy蘭丸
61,211,シドニアの騎士 あいつむぐほし,シドニアの騎士
62,1260,ドラゴン、家を買う。,ドラゴン、家を買う。
63,1250,恋と呼ぶには気持ち悪い,恋と呼ぶには気持ち悪い
64,1273,EDENS ZERO,EDENS ZERO
65,1133,イジらないで、長瀞さん,イジらないで、長瀞さん
66,1271,スライム倒して300年、知らないうちにレベルMAXになってました,スライム倒して300年、知らないうちにレベルMAXになってました
68,1275,不滅のあなたへ,不滅のあなたへ
69,1259,戦闘員、派遣します！,戦闘員、派遣します！
70,850,魔入りました！入間くん 第2シリーズ,魔入りました！入間くん
71,688,機動戦士ガンダム 閃光のハサウェイ 第一部,機動戦士ガンダム 閃光のハサウェイ
73,862,それいけ！アンパンマン ふわふわフワリーと雲の国,それいけ！アンパンマン クリスマススペシャル
74,1199,MARS RED,MARS RED
76,957,BanG Dream! Episode of Roselia I:約束,BanG Dream! (バンドリ)
77,1207,スーパーカブ,スーパーカブ
85,841,指先から本気の熱情 2 -幼なじみは消防士-,指先から本気の熱情
88,144,僕のヒーローアカデミア THE MOVIE 3,僕のヒーローアカデミア
92,301,TSUKIPRO THE ANIMATION 2,TSUKIPRO
95,1150,アサルトリリィ BOUQUET ミニアニメ,アサルトリリィ
100,953,きんいろモザイク Thank you!!,きんいろモザイク
101,769,転生したらスライムだった件 第2期 第2部,転生したらスライムだった件
111,76,Re:ゼロから始める異世界生活 新編集版,Re:ゼロから始める異世界生活
112,856,ドロヘドロ,ドロヘドロ
113,1015,ハイキュー!! TO THE TOP 第1クール,ハイキュー!!
114,812,映像研には手を出すな！,映像研には手を出すな！
115,817,魔術士オーフェンはぐれ旅,魔術士オーフェン
116,834,群れなせ！シートン学園,群れなせ！シートン学園
117,23,SHOW BY ROCK!! ましゅまいれっしゅ!!,SHOW BY ROCK!!
118,810,りばあす,りばあす
119,824,地縛少年花子くん,地縛少年花子くん
120,859,22/7,22/7
121,822,はてな☆イリュージョン,はてな☆イリュージョン
122,733,ネコぱら,ネコぱら
123,821,宝石商リチャード氏の謎鑑定,宝石商リチャード氏の謎鑑定
124,819,プランダラ,プランダラ
125,128,とある科学の超電磁砲T,とある科学の超電磁砲
126,1014,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？ OVA(第13話)「波打ち際のお母さんは好きですか？」,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？
127,808,ダーウィンズゲーム,ダーウィンズゲーム
128,691,インフィニット・デンドログラム,インフィニット・デンドログラム
129,918,八十亀ちゃんかんさつにっき 2さつめ,八十亀ちゃんかんさつにっき
130,987,痛いのは嫌なので防御力に極振りしたいと思います。,痛いのは嫌なので防御力に極振りしたいと思います。
131,814,pet -ペット-,pet -ペット-
132,467,ゆるキャン△ ショートアニメ「へやキャン△」,ゆるキャン△
133,807,ソマリと森の神様,ソマリと森の神様
134,820,空挺ドラゴンズ,空挺ドラゴンズ
135,826,織田シナモン信長,織田シナモン信長
136,813,おーばーふろぉ,おーばーふろぉ
137,816,ブレーカーズ,ブレーカーズ
138,805,恋する小惑星,恋する小惑星
139,957,BanG Dream! 3rd Season,BanG Dream! (バンドリ)
140,79,ヒーリングっど♥プリキュア,ヒーリングっど♥プリキュア
141,986,大家さんと僕,大家さんと僕
142,809,マギアレコード 魔法少女まどか☆マギカ外伝,マギアレコード
143,932,推しが武道館いってくれたら死ぬ,推しが武道館いってくれたら死ぬ
144,825,理系が恋に落ちたので証明してみた。,理系が恋に落ちたので証明してみた。
145,1091,ID:INVADED イド:インヴェイデッド,ID:INVADED イド:インヴェイデッド
147,827,ぼくのとなりに暗黒破壊神がいます。,ぼくのとなりに暗黒破壊神がいます。
148,891,異世界かるてっと2,異世界かるてっと
149,828,異種族レビュアーズ,異種族レビュアーズ
150,967,ランウェイで笑って,ランウェイで笑って
151,1233,ダンジョンに出会いを求めるのは間違っているだろうか II OVA,ダンジョンに出会いを求めるのは間違っているだろうか
153,838,虚構推理,虚構推理
154,818,number24,number24
155,823,うちタマ?! ～うちのタマ知りませんか？～,うちタマ?!
156,1098,トムとジェリー ショー3,トムとジェリー ショー
158,997,デジモンアドベンチャー LAST EVOLUTION 絆,デジモンアドベンチャー
159,778,7SEEDS 第2期,7SEEDS
160,946,ゼノンザード THE ANIMATION,ゼノンザード THE ANIMATION
162,1048,厨病激発ボーイ OVA(第12話),厨病激発ボーイ
167,949,囀る鳥は羽ばたかない The clouds gather,囀る鳥は羽ばたかない
169,930,ストライク・ザ・ブラッドIV,ストライク・ザ・ブラッド
170,930,ストライク・ザ・ブラッド 消えた聖槍篇,ストライク・ザ・ブラッド
171,538,世界一初恋 ～プロポーズ編～,世界一初恋
