work_id,work_title,child_id,child_title
7,ワンダーエッグ・プライオリティ,4551,ワンダーエッグ・プライオリティ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/42/4/24424_1_8_8b.png?1608175949000
11,WAVE!!～サーフィンやっぺ!!～,4145,WAVE!!～サーフィンやっぺ!!～,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/44/2/24442_1_8_8b.png?1607500983000
13,五等分の花嫁∬,3502,五等分の花嫁∬,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/41/0/24410_1_8_8b.png?1605603669000
15,弱キャラ友崎くん,3518,弱キャラ友崎くん,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/41/4/24414_1_8_8b.png?1607671935000
17,スケートリーディング☆スターズ,4122,スケートリーディング☆スターズ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/42/1/24421_1_8_8b.png?1607488259000
18,エビシー修業日記,4981,エビシー修業日記,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/44/3/24443_1_8_8b.png?1608620433000
20,怪物事変,256,怪物事変,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/44/8/24448_1_8_8b.png?1608004890000
21,アズールレーン びそくぜんしんっ！,857,アズールレーン びそくぜんしんっ！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/40/7/24407_1_8_8b.png?1608802206000
23,はたらく細胞BLACK,289,はたらく細胞BLACK,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/43/7/24437_1_8_8b.png?1607500962000
25,魔術士オーフェンはぐれ旅 キムラック編,877,魔術士オーフェンはぐれ旅 キムラック編,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/44/9/24449_1_8_8b.png?1608175986000
27,ワールドウィッチーズ発進しますっ！,3066,ワールドウィッチーズ発進しますっ！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/40/9/24409_1_8_8b.png?1605594608000
30,裏世界ピクニック,364,裏世界ピクニック,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/41/3/24413_1_8_8b.png?1608620405000
31,回復術士のやり直し,250,回復術士のやり直し,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/42/9/24429_1_8_8b.png?1607331605000
32,プレイタの傷,866,プレイタの傷,""
33,2.43 清陰高校男子バレー部,4069,2.43 清陰高校男子バレー部,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/34/3/24343_1_8_8b.png?1608102176000
36,アイカツプラネット！,4773,アイカツプラネット！,""
38,蜘蛛ですが、なにか？,218,蜘蛛ですが、なにか？,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/42/8/24428_1_8_8b.png?1611104409000
40,PUI PUI モルカー,4873,PUI PUI モルカー,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/40/8/24408_1_8_8b.png?1608004926000
42,のんのんびより のんすとっぷ,2959,のんのんびより のんすとっぷ,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/42/7/24427_1_8_8b.png?1607405431000
44,WIXOSS DIVA(A)LIVE,1023,WIXOSS DIVA(A)LIVE,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/45/4/24454_1_8_8b.png?1608780606000
46,はたらく細胞!!,295,はたらく細胞!!,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/43/6/24436_1_8_8b.png?1608004910000
48,文豪ストレイドッグス わん！,3055,文豪ストレイドッグス わん！,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/42/6/24426_1_8_8b.png?1607488240000
50,オルタンシア・サーガ,610,オルタンシア・サーガ,""
51,ワールドトリガー 2ndシーズン,318,ワールドトリガー 2ndシーズン,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/46/1/24461_1_8_8b.png?1608273036000
52,ウマ娘 プリティーダービー Season 2,4506,ウマ娘 プリティーダービー Season 2,https://cs1.anime.dmkt-sp.jp/anime_kv/img/24/46/2/24462_1_8_8b.png?1607911271000
