id,title,description,category,cast_data
13,幼女社長,むじなカンパニーの社長「六科なじむ」は、ごく普通の５歳児！社長に甘すぎる敏腕秘書「ユキ」に、国籍不明の謎の事務員「ガルシア」、ツッコミ役の平社員「真友」といった個性的な社員たちと共に世間の荒波に突っ込んでいく!?,ショート,"[""[キャスト]"", ""六科なじむ:日高里菜／割戸真友:金元寿子／軽井沢ユキ:上坂すみれ／出稼ぎガルシア:金子彩花／元橋リヤ:橋本ちなみ／野ワニ:古賀葵／クレーマー:杉田智和／コンポタおじさん:チョー／パン屋の店主:大塚芳忠／ガルシアの母:久川綾／太リーマン:興津和幸／須田丹龍斎:玄田哲章／テレビD:福山潤／デザイナー:小岩井ことり／なじむの母:田村ゆかり"", ""[スタッフ]"", ""原作:藤井おでこ（「幼女社長」KADOKAWA刊）／監督:いわたかずや／シリーズ構成:杉澤悟／キャラクターデザイン:渡辺奏／美術監督:荒井和浩／撮影監督:原田翔太／音響監督:明田川仁／音響制作:マジックカプセル／音 楽:H ZETT M／音楽制作:FABTONE／プロデュース:ドリームシフト／アニメーション制作:project No.9／製作:むじなカンパニー"", ""[製作年]"", ""2021年"", ""ⓒ藤井おでこ・ＫＡＤＯＫＡＷＡ／むじなカンパニー""]"
24,ぶらどらぶ,重度の献血マニアの女子高生・絆播 貢（ばんば みつぐ）。彼女は、ふとしたきっかけで出会った美少女・マイを自宅に連れ帰る。しかし彼女には秘密があった。彼女はなんと名門吸血鬼一族の末裔だったのだ！　さらに気弱な彼女は、人に噛みついて血を吸えない吸血鬼だったのだ。貢はマイを「生かす」ための血を入手するため、自身が通う学校の保健医や友人達を巻き込みながら日々奮闘する。,SF/ファンタジー,"[""[キャスト]"", ""絆播 貢:佐倉綾音／マイ・ヴラド・トランシルヴァニア:日高里菜／血祭血比呂:朴 璐美／渡部マキ:早見沙織／墨田仁子:日笠陽子／雲天那美:小林ゆう／紺野カオル:高槻かなこ／勝野真澄:三宅健太／岡田:石川界人／神原:綿貫竜之介／堀田:木内太郎／マイのパパ:岩崎ひろし／貢のとーちゃん:中田譲治"", ""[スタッフ]"", ""製作:いちごアニメーション／総監督・原作・シリーズ構成:押井 守／監督:西村純二／脚本:押井 守・山邑 圭／ビジュアルデザイン:水野 歌／キャラクターデザイン:新垣一成／色彩設計:梅崎ひろこ／美術設定:加藤靖忠／美術監督:小幡和寛／美術:STEREOTYPE smartile／音響監督:若林和弘／音響効果:山田香織／録音調整:今泉 武／音響制作:Production I.G／音楽制作:AUBE／音楽:川井憲次／アニメーション制作:Drive／アニメーション制作協力:Production I.G／制作:コミックアニメーション"", ""[製作年]"", ""2020年"", ""©2020 押井守／いちごアニメーション""]"
28,もっと！まじめにふまじめ かいけつゾロリ 第2シリーズ,いたずらの王者をめざすキツネのゾロリの夢は、花よめさんとお城を手に入れること！弟子のイノシシ・イシシとノシシと修行の旅をしながら行くさきざきで大活躍する冒険物語,コメディ/ギャグ,"[""[キャスト]"", ""ゾロリ:山寺宏一／イシシ:愛河里花子／ノシシ:くまいもとこ／ビート:梶裕貴"", ""[スタッフ]"", ""原作:原ゆたか／監督:緒方隆秀／シリーズ構成:冨岡淳広／キャラクターデザイン:船越英之／音楽:田中公平／アニメーション制作:ＢＮピクチャーズ ・ 亜細亜堂／制作・著作:「もっと！まじめにふまじめ かいけつゾロリ」製作委員会"", ""[製作年]"", ""2021年"", ""©原ゆたか／ポプラ社・BNP・NEP""]"
29,灼熱カバディ,宵越竜哉は『不倒の宵越』と呼ばれるサッカーの名選手だったが、高校入学を機にスポーツと縁を切ってしまう。そんな彼の元へ、とある運動部が勧誘にやってくる。その競技は、 仲間と協力し縄張りに侵入する敵を捕らえ 、引きずり倒す事で勝利へと繋げる…言うなれば『走る格闘技』。競技の名は……カバディ！！,ドラマ/青春,"[""[キャスト]"", ""宵越竜哉:内田雄馬／王城正人:岡本信彦／畦道相馬:佐藤元／井浦慶:古川慎／水澄京平:鈴木達央／伊達真司:武内駿輔／伴伸賢:神尾晋一郎／関隆太:駒田航／人見祐希:村瀬歩／六弦歩:安元洋貴／高谷煉（※「煉」は火へんに東）:鈴村健一／木崎新太郎:八代拓／栄倉祐:内田修一／室屋大助:柳田淳一／佐倉学:花江夏樹／右藤大元:斉藤壮馬"", ""[スタッフ]"", ""原作:武蔵野創（小学館「マンガワン」連載中）／監督:市川量也／キャラクターデザイン:髙田真理／音響監督:はたしょう二／シリーズ構成:柿原優子／脚本:柿原優子・後藤みどり／音楽:伊藤賢／オープニングテーマ:大平峻也「FIRE BIRD」／エンディングテーマ:内田雄馬「Comin' Back」／アニメーション制作協力:ドメリカ／アニメーション制作:トムス・エンタテインメント／製作:灼熱カバディ製作委員会"", ""[製作年]"", ""2021年"", ""©2020武蔵野創・小学館／灼熱カバディ製作委員会""]"
30,バトルアスリーテス大運動会 ReSTART!,宇宙からの侵略者・ネリリ星人を退けた人類は、太陽系全域にまで居住区を広げ、その繁栄を謳歌していた。その100年後──人類が熱狂するのは、神（しん）・大運動会！大学衛星と呼ばれるスペースコロニーに、太陽系の各地から少女たちが集結。宇宙一の座をかけて、様々なスポーツで激闘を繰り広げるのだ。最後に勝ち残った者は宇宙撫子（コスモビューティー）と呼ばれ、太陽系の女王の座に就くことができる。地球の少女・明星（あけほし）かなたは、幼い頃に交わしたある約束を果たすため、宇宙撫子を目指す。南極訓練校での予選を見事に勝ち抜き、大学衛星にやって来たかなた。そこで、かつて約束を交わした少女と再会を果たす。勇気と希望と誇りをかけた、少女たちの熱いスポーツバトルが幕を開ける！,スポーツ/競技,"[""[キャスト]"", ""明星かなた:諸星すみれ／エヴァ・ガレンシュタイン:石川由依／シェリイ・ウォン:富田美憂／ヤナ・クリストファ:早見沙織／リディア・ガートランド:鬼頭明里／パリア・レスピーギ:南條ひかる"", ""[スタッフ]"", ""原案:林宏樹／監督:佐々木勅嘉／シリーズ構成:香椎葉平／キャラクターデザイン:春山和則／美術監督:中原英統／色彩設計:近藤直登／撮影監督:堀川和人／音響監督:なかのとおる／音楽:hisakuni、賀佐泰洋、山崎真吾、曽木琢磨、髙橋祐子、トミタカズキ、横地健太／劇伴制作:SUPA LOVE／制作:アニメーションスタジオ・セブン"", ""[製作年]"", ""2021年"", ""©ＡＩＣライツ／太陽系管理委員会""]"
33,キングダム 第3シリーズ,紀元前、中国西方の秦国に、今は亡き親友と夢見た「天下の大将軍」を目指す若き千人将・信がいた。かつて王都で起きたクーデターに巻き込まれ、現在の秦王・嬴政と運命的に出会った信は、自身の夢をかなえ、嬴政が目指す「中華統一」をともに成し遂げるため戦場に身を置くことになる。戦地で散った師・王騎の死を乗り越え、蒙恬や王賁ら同世代の隊長たちと切磋琢磨しながら、着実に夢への階段を上ってゆく信。一方、嬴政もまた、壮大な目標に向け、相国・呂不韋から国の実権を奪い返すべく宮廷内での勢力拡大に力を注ぐ。そんな中、軍事最重要拠点のひとつ山陽の攻略に成功した秦国は、これにより中華統一へ一歩近づくこととなった。だが、七国の勢力図を塗り替えかねないこの一手に危機感を抱く趙国の天才軍師・李牧は、楚国の宰相・春申君を総大将に、楚、趙、魏、燕、韓、斉の六国による合従軍を興し秦国への侵攻を開始する！未曾有の危機に、秦国は持てるすべての武力を結集して、合従軍を迎え撃つ!!,ドラマ/青春,"[""[キャスト]"", ""信:森田成一／嬴政:福山 潤／河了貂:釘宮理恵／呂不韋:玄田哲章／昌平君:諏訪部順一／昌文君:仲野 裕／桓騎:伊藤健太郎／蒙武:楠 大典／張唐:浦山 迅／騰:加藤亮夫／麃公:斎藤志郎／王翦:堀内賢雄／蒙驁:伊藤和晃／王賁:細谷佳正／蒙恬:野島裕史／李牧:森川智之／春申君:内田夕夜／汗明:田中美央／オルド:木下浩之／呉鳳明:浪川大輔／成恢:鳥海浩輔／慶舎:平川大輔／媧燐:田中敦子／項翼:鈴木達央／白麗:上村祐翔　他"", ""[スタッフ]"", ""原作:原 泰久（集英社「週刊ヤングジャンプ」連載）／監督:今泉賢一／シリーズ構成:高木 登／キャラクターデザイン:阿部 恒／美術監督:東 潤一／色彩設計:阿部みゆき／撮影監督:野上大地／編集:柳 圭介／音楽:澤野弘之／KOHTA YAMAMOTO／音楽制作:エイベックス・ピクチャーズ／音響監督:小泉紀介／録音スタジオ:神南スタジオ／アニメーション制作:ぴえろ／スタジオ サインポスト"", ""[製作年]"", ""2020年"", ""©原泰久／集英社・キングダム製作委員会""]"
35,美少年探偵団,十年前に一度だけ見た星を探す少女、瞳島眉美。彼女は「美少年探偵団」の事務所を訪れる。そこにいたのは個性豊かな五人の美少年たち。彼らとの出会いで眉美の十年来の星探しが大きく動き出す。眩しいほどに美しい謎解き冒険譚、ここに開幕！,ホラー/サスペンス/推理,"[""[キャスト]"", ""瞳島眉美:坂本真綾／双頭院 学:村瀬 歩／咲口長広:坂 泰斗／袋井 満:増田俊樹／足利飆太:矢野奨吾／指輪創作:佐藤 元／麗:七海ひろき／札槻 嘘:鳥海浩輔"", ""[スタッフ]"", ""原作:西尾維新「美少年シリーズ」（講談社タイガ）／総監督:新房昭之／キャラクター原案:キナコ／アニメーションキャラクターデザイン・総作画監督:山村洋貴／副監督:岡田堅二朗／美術監督:細井友保／色彩設計:渡辺康子／撮影監督:会津孝幸／編集:松原理恵／音響監督:亀山俊樹／音楽:太田雅友・EFFY／監督:大谷 肇／アニメーション制作:シャフト"", ""[製作年]"", ""2021年"", ""©西尾維新／講談社・アニプレックス・シャフト""]"
39,ひげを剃る。そして女子高生を拾う。,片思いした相手にバッサリ振られ、ヤケ酒をした帰り道、26歳のサラリーマン・吉田は路上に座り込む女子高生・沙優と出会った。べろべろに酔った吉田は、前後不覚のまま行き場のない沙優を一晩泊める。…翌朝、ふわりと美味しそうな香りに目覚めると、食卓には味噌汁が。「おはよう」「なんだお前！！なんでJKが俺ん家に！」「泊めてって言ったら泊めてくれたじゃん」「…味噌汁」「昨日“毎日味噌汁を作ってくれ～”って」「ハァ！？絶対言わねェ！！」家出をして行き場のない沙優を追い出すわけにもいかず、吉田は家事を条件に彼女の同居を認めることに…。こうして、家出女子高生とサラリーマンの微妙な距離がもどかしくもあたたかい、不思議な同居生活が始まった―。,恋愛/ラブコメ,"[""[キャスト]"", ""吉田:興津 和幸／荻原 沙優:市ノ瀬 加那／後藤 愛依梨:金元 寿子／三島 柚葉:石原 夏織／橋本:小林 裕介／結城あさみ:川井田夏海"", ""[スタッフ]"", ""原作:しめさば（角川スニーカー文庫）／キャラクター原案:ぶーた／監督:上北 学／シリーズ構成:赤尾 でこ／キャラクターデザイン:野口 孝行／美術監督:葛 琳／撮影監督:上條 智也／音響監督:明田川 仁／音響制作:マジックカプセル／音楽:菊谷 知樹／音楽制作:ポニーキャニオン／プロデュース:ドリームシフト／アニメーション制作:project No.9／製作:『ひげひろ』製作委員会"", ""[製作年]"", ""2021年"", ""©しめさば・KADOKAWA／『ひげひろ』製作委員会""]"
40,すばらしきこのせかい The Animation,“シブヤ”の街を駆け巡り、7日間の「死神ゲーム」を生き残れ!!シブヤのスクランブル交差点で目を覚ました主人公・ネク。そこは現実のシブヤと重なりあう異なる次元 “UG（アンダーグラウンド）” だった。訳が分からないまま「死神ゲーム」の参加者になっていたネクは、同じゲームの参加者である少女・シキと出会い、“パートナー”として契約。理不尽に課せられる“ミッション”や襲いかかってくるバケモノ“ノイズ”に立ち向かいながら、「死神ゲーム」と自分の記憶に隠された真相に迫っていく。『生き残れるのは、パートナーを信頼できた奴だけだ。』,SF/ファンタジー,"[""[キャスト]"", ""ネク:内山 昂輝／シキ:鉢嶺 杏奈／ビイト:木村 昴／ライム:竹達 彩奈／ヨシュア:木村 良平／ハネコマ:津田健次郎／ヤシロ:新井里美／カリヤ:勝杏里／ヒガシザワ:高橋研二／ミナミモト:藤本隆行／コニシ:生天目仁美／キタニジ:白熊寛嗣"", ""[スタッフ]"", ""原作:すばらしきこのせかい It’s a Wonderful World (スクウェア・エニックス)／監督:市川量也(DOMERICA)／音楽:石元丈晴"", ""[製作年]"", ""2021年"", ""©SQUARE ENIX／すばらしきこのせかい製作委員会・MBS""]"
42,バクテン!!,「笑ったぶんだけ高く、泣いたぶんだけ強く」中学生活最後の夏、『男子新体操』と出会い、強烈に魅せられた少年「双葉翔太郎」。私立蒼秀館高等学校（通称：アオ高）に入学した翔太郎は、男子新体操部の門を叩く。そこには、個性的な先輩たちと、中学男子新体操のスター「美里良夜」がいた。何か一つのことに懸ける、熱い青春の日々。ときに挫折し、すれ違うも、共に仲間と過ごす毎日の中で、一生懸命一つの目標に向かって、チームでひた走る姿を描く「スポ根 × 青春群像劇」。この春、情熱を懸けた本気の青春が、始まる――,ドラマ/青春,"[""[キャスト]"", ""双葉翔太郎:土屋神葉／美里良夜:石川界人／七ヶ浜政宗:小野大輔／築館敬助:近藤 隆／女川ながよし:下野 紘／亘理光太郎:神谷浩史／月雪ましろ:村瀬 歩／高瀬 亨:小西克幸／陸奥洋二郎:鈴村健一／大湊秀夫:杉田智和／竜ヶ森恭一:斉藤壮馬／吾妻俊介:山下大輝／双葉亜由美:上田麗奈／馬淵修司:松田健一郎／栗駒あさを:佐倉綾音／志田周作:櫻井孝宏"", ""[スタッフ]"", ""原作:四ッ木えんぴつ／監督:黒柳トシマサ／シリーズディレクター:長屋誠志郎／新体操試技監督:光田史亮／シリーズ構成・脚本:根元歳三／キャラクターデザイン原案:ろびこ／プロップデザイン・総作画監督:中西 彩／色彩設計:千葉絵美／美術設定:緒川マミオ／美術監督:平間由香／3DCG:武右ェ門／CGI監督:篠田周二／撮影監督:本台貴宏、伊藤 遼／編集:平木大輔／音響監督:長崎行男／音楽:林ゆうき／新体操ユニフォームデザイン:株式会社ササキスポーツ／監修:青森山田高校男子新体操部／アニメーション制作:ZEXCS"", ""[製作年]"", ""2021年"", ""©バクテン製作委員会""]"
