id,title
1,ミヨリの森
2,シスタープリンセス
3,科学アドベンチャー
4,"P.A.WORKSの“お仕事"""
5,涼宮ハルヒシリーズ
6,マジェスティックプリンス
7,ラムネ＆40
8,勇者である
9,〈物語〉
10,レゴ フレンズ
11,ラファンドール国物語
12,マジンガーZ
13,新機動戦記ガンダムW 
14,アナザーガンダム（宇宙世紀以外の作品）
15,Code：Realize
16,告白実行委員会
17,刃牙
18,ブブキブランキ
19,ガンダム TV作品
20,はいからさんが通る
21,ガンゲイル・オンライン
22,ISLAND(アイランド)
23,ミルキィホームズ
24,RErideD-刻越えのデリダ-
25,天才バカボン
26,プリキュアTV
27,HUNTER×HUNTER 1999年版
28,HUNTER×HUNTER 2011年版
29,大山版 劇場版 ドラえもん
30,カイジ
31,劇場版 ONE PIECE
32,プリキュア劇場版
33,ここたま
34,水田版 劇場版 ドラえもん
35,劇場版 名探偵コナン
36,劇場版 クレヨンしんちゃん
37,GRIDMAN UNIVERSE
38,BLADE RUNNER
39,機動戦士ガンダム（主な宇宙世紀の作品）
40,ポケットモンスター 短編
41,CIRCLET PRINCESS
42,三国志 (アニメ映画)
43,センコロール
44,"機動戦士ガンダム (一年戦争のサイドストーリー,スピンオフ)"
45,りぼんちゃん
46,おちゃのじかんにきたとら
47,Project Itoh
48,あにめたまご2019
49,あにめたまご2018
50,リブドル！
51,劇場版 アンパンマン
52,ダイの大冒険
53,ルパン三世 劇場公開作品
54,ルパン三世 TVアニメ
55,ルパン三世 OVA
56,バイストン・ウェルの物語
57,ツバサ-RESERVoir CHRoNiCLE-
58,あにめたまご2020
59,母をたずねて三千里
60,封神演義
61,ルパン三世 TVスペシャル
62,トランスフォーマー アドベンチャー
63,赤毛のアン
64,岐阜県大垣市
65,GET UP! GET LIVE!
66,キルラキル KILL la KILL 
67,ヒプノシスマイク
68,カピバラさん
69,アルプスの少女ハイジ
70,宝島
71,すみっコぐらし
72,プロジェクトA子
73,ふぁんたじあ
74,マリーベル
