work_id,tag_id,danime_title,work_title
1,12,エビシー修業日記,エビシー修業日記
2,12,PUI PUI モルカー,PUI PUI モルカー
2,21,PUI PUI モルカー,PUI PUI モルカー
2,31,PUI PUI モルカー,PUI PUI モルカー
2,38,PUI PUI モルカー,PUI PUI モルカー
3,11,ウマ娘 プリティーダービー Season 2,ウマ娘 プリティーダービー Season 2
3,21,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
3,24,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
3,26,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
3,31,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
3,36,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
3,36,ウマ娘 プリティーダービー Season 2,ウマ娘 プリティーダービー Season 2
3,40,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
3,34,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
3,34,ウマ娘 プリティーダービー Season 2,ウマ娘 プリティーダービー Season 2
3,49,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
3,37,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
3,22,ウマ娘 プリティーダービー,ウマ娘 プリティーダービー Season 2
4,2,怪病医ラムネ,怪病医ラムネ
4,8,怪病医ラムネ,怪病医ラムネ
4,49,怪病医ラムネ,怪病医ラムネ
5,2,蜘蛛ですが、なにか？,蜘蛛ですが、なにか？
5,16,蜘蛛ですが、なにか？,蜘蛛ですが、なにか？
5,39,蜘蛛ですが、なにか？,蜘蛛ですが、なにか？
6,2,おとなの防具屋さん,おとなの防具屋さんII
6,2,おとなの防具屋さんⅡ　ラグジュアリー版,おとなの防具屋さんII
6,2,おとなの防具屋さん(裏面),おとなの防具屋さんII
6,2,おとなの防具屋さんⅡ　テレビ版,おとなの防具屋さんII
6,1,おとなの防具屋さん,おとなの防具屋さんII
6,1,おとなの防具屋さんⅡ　ラグジュアリー版,おとなの防具屋さんII
6,1,おとなの防具屋さん(裏面),おとなの防具屋さんII
6,1,おとなの防具屋さんⅡ　テレビ版,おとなの防具屋さんII
6,12,おとなの防具屋さん,おとなの防具屋さんII
6,12,おとなの防具屋さんⅡ　ラグジュアリー版,おとなの防具屋さんII
6,12,おとなの防具屋さん(裏面),おとなの防具屋さんII
6,12,おとなの防具屋さんⅡ　テレビ版,おとなの防具屋さんII
9,13,SK∞ エスケーエイト,SK∞ エスケーエイト
9,49,SK∞ エスケーエイト,SK∞ エスケーエイト
10,2,装甲娘戦機,装甲娘戦機
10,3,装甲娘戦機,装甲娘戦機
10,5,装甲娘戦機,装甲娘戦機
11,2,無職転生 ～異世界行ったら本気だす～,無職転生 ～異世界行ったら本気だす～
11,16,無職転生 ～異世界行ったら本気だす～,無職転生 ～異世界行ったら本気だす～
11,49,無職転生 ～異世界行ったら本気だす～,無職転生 ～異世界行ったら本気だす～
11,39,無職転生 ～異世界行ったら本気だす～,無職転生 ～異世界行ったら本気だす～
11,54,無職転生 ～異世界行ったら本気だす～,無職転生 ～異世界行ったら本気だす～
11,22,無職転生 ～異世界行ったら本気だす～,無職転生 ～異世界行ったら本気だす～
12,23,Dr.STONE,Dr.STONE STONE WARS
12,40,Dr.STONE,Dr.STONE STONE WARS
13,6,弱キャラ友崎くん,弱キャラ友崎くん
13,17,弱キャラ友崎くん,弱キャラ友崎くん
13,29,弱キャラ友崎くん,弱キャラ友崎くん
13,52,弱キャラ友崎くん,弱キャラ友崎くん
14,2,劇場版 美少女戦士セーラームーンR,劇場版 美少女戦士セーラームーン Eternal 後編
14,2,劇場版 美少女戦士セーラームーンS,劇場版 美少女戦士セーラームーン Eternal 後編
14,2,劇場版 美少女戦士セーラームーンＳｕｐｅｒＳ　セーラー９戦士集結！ブラック・ドリーム・ホールの奇跡,劇場版 美少女戦士セーラームーン Eternal 後編
14,2,劇場版 美少女戦士セーラームーンＳｕｐｅｒＳ外伝　亜美ちゃんの初恋,劇場版 美少女戦士セーラームーン Eternal 後編
14,5,劇場版 美少女戦士セーラームーンR,劇場版 美少女戦士セーラームーン Eternal 後編
14,5,劇場版 美少女戦士セーラームーンS,劇場版 美少女戦士セーラームーン Eternal 後編
14,5,劇場版 美少女戦士セーラームーンＳｕｐｅｒＳ　セーラー９戦士集結！ブラック・ドリーム・ホールの奇跡,劇場版 美少女戦士セーラームーン Eternal 後編
14,5,劇場版 美少女戦士セーラームーンＳｕｐｅｒＳ外伝　亜美ちゃんの初恋,劇場版 美少女戦士セーラームーン Eternal 後編
14,6,劇場版 美少女戦士セーラームーンR,劇場版 美少女戦士セーラームーン Eternal 後編
14,6,劇場版 美少女戦士セーラームーンS,劇場版 美少女戦士セーラームーン Eternal 後編
14,6,劇場版 美少女戦士セーラームーンＳｕｐｅｒＳ　セーラー９戦士集結！ブラック・ドリーム・ホールの奇跡,劇場版 美少女戦士セーラームーン Eternal 後編
14,6,劇場版 美少女戦士セーラームーンＳｕｐｅｒＳ外伝　亜美ちゃんの初恋,劇場版 美少女戦士セーラームーン Eternal 後編
15,2,裏世界ピクニック,裏世界ピクニック
15,8,裏世界ピクニック,裏世界ピクニック
15,24,裏世界ピクニック,裏世界ピクニック
16,2,転生したらスライムだった件,転生したらスライムだった件 第2期 第1部
16,2,転生したらスライムだった件 第2期,転生したらスライムだった件 第2期 第1部
16,2,転生したらスライムだった件 OAD,転生したらスライムだった件 第2期 第1部
16,5,転生したらスライムだった件,転生したらスライムだった件 第2期 第1部
16,5,転生したらスライムだった件 第2期,転生したらスライムだった件 第2期 第1部
